Nome Contratado,Quantidade_Orgao,Total_Contratos
INCARDIO - INSTITUTO CARDIOVASCULAR DO CENTRO OESTE LTDA,1,500000.0000
INCOMPRE CONSTRUTORA E COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA,1,558658.3000
INDREL INDUSTRIA DE REFRIGERACAO LONDRINENSE LTDA,1,96000.0000
INDUSTEC COMERCIAL E SERVICOS LTDA,1,2378380.5100
INDUSTRIA DE MATERIAL BELICO DO BRASIL IMBEL,1,1676325.0000
INDUSTRIA E COMERCIO DE PRODUTOS BIOTECNOLOGICOS LTDA,1,59962.5000
INFINI EDITORA LTDA,1,2028.0000
INFINITE SINALIZACAO E SERVICOS GRAFICOS LTDA,1,779145.9000
INFINITY PHARMA COMERCIO E REPRESENTACOES DE MEDICAMENTOS LTDA,1,12276.0000
GEOCENTER COMERCIO DE EQUIPAMENTOS OPTICOS ELETRONICOS LTDA,1,20670.0000
"GEOHIDRO - GEOLOGIA, HIDROGEOLOGIA E SERVICOS LTDA",1,348499.2000
GEOMETRIE  PROJETOS E SERVICOS DE URBANISMO E ARQUITETURA LTDA,1,664777.5900
GERRI ADRIANE DO CARMO,1,40441.1500
GESTAO AGRO CONSULTORIA LTDA,1,98918.1400
GESTSERVI - GESTAO E TERCEIRIZACAO DE MAO DE OBRA LTDA,1,747543.7200
GFK COMERCIO E SERVICOS DE ENGENHARIA LTDA,1,188003.0000
GGH ASCENSORES LTDA,1,24980.0000
GHC UNIFORMES PROFISSIONAIS LTDA,1,115580.5200
GIDEONE GOIS SANTOS,1,37359.3500
GILBERTO DA SILVA,1,65960.9000
GILCELIA FERREIRA DE OLIVEIRA QUADROS,1,5348.1000
GIOCONDA PRODUCOES ARTISTICAS E EDICOES CULTURAIS LTDA,1,46000.0000
GIOVANA DE AVILA GRANCE,1,42960.0000
GIOVANNI CANDIDO RIBEIRO,1,53676.4000
GISELE VIRGINIA BECKER DE OLIVEIRA,1,30000.0000
GIZELDA DE OLIVEIRA PAZ LTDA,1,5845.5000
GK COMERCIO E DISTRIBUICAO DE ALIMENTOS E PRODUTOS LTDA,1,12720.2000
GLEUCY SEULLY MUNIZ DA SILVA,1,52000.0000
GLOBAL EDITORA E DISTRIBUIDORA LTDA,1,830665.0800
GLOBAL IMPORTACAO E EXPORTACAO LTDA,1,299707.2600
"GLOBAL PROJETOS, CONSTRUCOES E TRANSPORTES LTDA",1,4215813.9700
GLOBALI DISTRIBUICAO E COMERCIO LTDA,1,146955.8700
GLOBALSUPPLIER COMERCIO DE PECAS E SERVICOS DE MANUTENCAO LTDA,1,939980.0000
GM ENGENHARIA LTDA,1,28425.2900
GMIESKI & SANTOS LTDA,1,2700000.0000
GODOYS SERVICOS E COMERCIO LTDA,1,215892.3600
GOEMANN COMERCIAL LTDA,1,188624.7200
INSTITUTO NACIONAL VERITAS DE CULTURA LTDA,1,88661.8000
INSTITUTO SAGAZ LTDA,1,39795.0700
INSTITUTO SENIOR DE MEDICINA AVANCADA LTDA,1,1200000.0000
INSTITUTO SUL MINEIRO DE RESSONANCIA MAGNETICA LTDA,1,1080000.0000
INSTRAMED INDUSTRIA MEDICO HOSPITALAR LTDA,1,70500.0000
INSTRON BRASIL EQUIPAMENTOS CIENTIFICOS LTDA,1,119378.3600
INSTRUCON COMERCIO E SERVICOS DE REFRIGERACAO LTDA,1,2704510.0000
INTEGRA CONSULTORIA E PROJETOS DE ENGENHARIA LTDA,1,178250.0000
INTERBRASIL DISTRIBUIDORA LTDA,1,41750.0000
INTERFISIO CLINICA DE FISIOTERAPIA E TERAPIA OCUPACIONAL LTDA,1,60000.0000
INTERJET COMERCIAL LTDA,1,3446.1600
INTEROP INFORMATICA LTDA,1,3966000.0000
INTERQUATTRI INFORMATICA E TELECOMUNICACOES LTDA,1,269280.0000
INTERSUL EQUIPAMENTOS E SERVICOS HOSPITALARES LTDA,1,64899.9600
INVITECH - SOLUCOES EM TECNOLOGIA LTDA,1,108509.3100
IP SERVICOS E LOCACOES LTDA,1,32415.3500
IPE SOLUCOES E ENGENHARIA LTDA,1,154958.9500
IRANI DE JESUS DIAS MAXIMIANO,1,42277.4400
IRMAOS DUARTE CALIBRACOES LTDA,1,17999.8400
ISM GOMES DE MATTOS LTDA,1,36578063.7000
ISUPRY COMERCIAL E SERVICOS LTDA,1,7748.4000
IT PROTECT SERVICOS DE CONSULTORIA EM INFORMATICA LTDA,1,832549.1900
ITA MED PRODUTOS MEDICOS HOSPITALARES LTDA,1,1674.0000
ITALIA EMPREENDIMENTOS LTDA,1,7028.0000
ITEC INFORMATICA E TECNOLOGIA LTDA,1,45800.0000
INFOCENTER LTDA,1,7999.9200
INFORMATICA BRASIL TECNOLOGIA LTDA,1,6505.0000
INGA FORMATURAS LTDA,1,1221.0000
INNEFRO - INSTITUTO DE NEFROLOGIA LTDA,1,79500.0000
INOVACOES COMERCIO DE MEDICAMENTOS E PRODUTOS PARA SAUDE LTDA,1,540.0000
INOVETTOR SERVICOS DE ENGENHARIA LTDA,1,39230.2300
INOVIDA COMERCIO E LOCACAO DE EQUIPAMENTOS MEDICOS LTDA,1,10000.0000
INPRINT - COMERCIO VAREJISTA E LOCACAO DE EQUIPAMENTOS DE INFORMATICA LTDA,1,18300.0000
INQUILINOS PRODUCAO CULTURAL E COMERCIO LTDA,1,840163.5600
INSET MASTER BRASIL LTDA,1,17476.1400
INSTALAR - COMERCIO E SERVICOS EM AR CONDICIONADO LTDA,1,141608.6100
INSTITUTO ALCIDES D' ANDRADE LIMA,1,400000.0000
INSTITUTO BRASILEIRO DE ENGENHARIA DE CUSTOS,1,6946539.6500
INSTITUTO DA EVOLUCAO INDIVIDUAL SOLARIS LTDA,1,956162.6700
INSTITUTO DA VISAO DE POUSO ALEGRE LTDA,1,990000.0000
INSTITUTO DE ARRITMIA CARDIACA DE J. DE FORA SOCIEDADE SIMPLES PURA - EPP,1,3890335.3000
INSTITUTO DE BIOLOGIA MOLECULAR DO PARANA - IBMP,1,20884142.4000
INSTITUTO DE EDUCACAO ESPECIAL CLAVE DE SOL LTDA,1,0.0300
INSTITUTO DE HEMATOLOGIA E HEMOTERAPIA LTDA,1,170000.0000
INSTITUTO DE HEMATOLOGIA HEMOTERAPIA DE BELEM LTDA,1,216000.0000
INSTITUTO DE NEUROLOGIA E NEUROCIRURGIA DA PARAIBA LTDA,1,100000.0000
INSTITUTO DE OLHOS DE SERGIPE LTDA,1,100000.0000
INSTITUTO DE ONCOLOGIA KAPLAN S.A.,1,3762121.1600
INSTITUTO DE PATOLOGIA CIRURGICA E MOLECULAR DE SERVICOS LTDA,1,1200000.0000
INSTITUTO DE PATOLOGIA JOSE CARLOS CORREA LTDA,1,79500.0000
INSTITUTO DE PESQUISAS TECNOLOGICAS  DO ESTADO DE S.PAULO S/A IPT,1,4780000.0000
INSTITUTO DE PROFESSORES PUBLICOS E PARTICULARES,1,5750976.1000
INSTITUTO DE SAUDE AUDITIVA DO PARA S/S LTDA,1,1200000.0000
INSTITUTO DONATO DE OFTALMOLOGIA LTDA,1,990000.0000
MGE - DISTRIBUIDORA DE LIVROS LTDA,1,1373798.5100
MH2 TELECOM LTDA,1,1533955.4900
MHA ENGENHARIA LTDA,1,944107.0000
MHNET TELECOMUNICACOES LTDA,1,13650.0000
MICHELE LEAL LEMOS,1,67021.3900
MICHELE PATRICIA FAZZINI PARASTCHUK,1,799800.0000
MICHELLE CRISTINA MENDONCA DE CARVALHO - EIRELI,1,15000.0000
MICROBHRAS GERENCIAMENTO DA INFORMACAO LTDA,1,1171398.7500
MICROSENS S/A,1,20480.0000
MICROWARE TECNOLOGIA DE INFORMACAO LTDA,1,474880.0000
MILECOM TELECOMUNICACOES LTDA,1,85000.0000
MILK VITTA - COMERCIO E INDUSTRIA LTDA,1,862270.0000
MILLENIUM IND. E COM. DE PRODUTOS METALICOS LTDA,1,6725.4000
MINAS BRASILIA REVESTIMENTOS E DECORACOES LTDA,1,46000.0000
MINAS SUL INSTALACOES ELETRICAS LTDA,1,2650000.0000
MINEIRINHO COMERCIO DE ALIMENTOS RESTAURANTE LTDA,1,538.8000
MINHA BIBLIOTECA LTDA.,1,655082.4000
MIPPE CONSTRUCOES LTDA,1,1157968.2700
MIQ MED MEDICINA INTELIGENTE DE QUALIDADE LTDA,1,2090814.0000
MKR CONSTRUCOES LTDA,1,462601.8500
MLA ENSAIOS ANALITICOS E SOLUCOES AMBIENTAIS LTDA,1,24999.7300
MN & D MAGSUL MEDICINA NUCLEAR LTDA.,1,990000.0000
MN TECNOLOGIA E TREINAMENTO LTDA,1,381426.8600
MOA MANUTENCAO E OPERACAO LTDA,1,1587568.3200
MOEMA MARY FONSECA DANTAS EFREM DE LIMA,1,9699.7000
MEGA IMAGEM LTDA,1,400000.0000
MEGADIESEL PECAS E SERVICOS LTDA,1,234406.0500
MEGAPLAN PLANEJAMENTO CONSTRUCOES LTDA,1,103500.0000
MEGATRUCK TRANSPORTES E LOCACOES LTDA,1,57900.0000
MEHLEN CONSTRUCOES LTDA,1,266686.3800
MEIRA & PONTES MEDICOS ASSOCIADOS LTDA,1,70000.0000
MELHORAMENTOS DE SAO PAULO LIVRARIAS LIMITADA,1,392886.5800
MELHORAMENTOS LIVROS LTDA.,1,336375.6000
MELLO E VULCANO RADIOLOGIA ODONTOLOGICA LTDA.,1,100000.0000
MENDES & VIANA COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA,1,240188.2900
MENDES SOLUCOES AMBIENTAIS LTDA,1,80435.1900
MANAIM COMERCIAL LTDA,1,6240.0000
MANAUS AEROTAXI PARTICIPACOES LTDA,1,2170000.0000
"MANHUACU CONSTRUCAO, TERCEIRIZACAO E COMERCIALIZACAO DE MATERIAIS LTDA",1,1249.2200
MANIFOLD MEDICAL COMERCIO DE PRODUTOS HOSPITALARES LTDA,1,21850.0000
MANOEL FERREIRA DOS SANTOS,1,36538.1500
MANU DISTRIBUIDORA DE ALIMENTOS LTDA,1,2764.3000
MANUQUIP COMERCIO E SERVICOS LTDA,1,1727558.7000
"MAOS PERUANAS RESTAURANTE, LANCHONETE E EVENTOS LTDA",1,3841948.0000
MAP SERVICOS DE SEGURANCA LTDA,1,2864625.1200
MAPFRE SEGUROS GERAIS S.A.,1,2077.8700
MAR DAS CONCHAS EDITORA E COMERCIO LTDA,1,213492.5000
MARCELO PAULO TISSIANI,1,25000.0000
MARSOFT CONSULTORIA E SISTEMAS LTDA,1,7200.0000
MARTA ALVES DOS SANTOS,1,20475.0000
MARTELL COMERCIO DE PRODUTOS HOSPITALARES LTDA,1,4351.0000
MARTINEZ E RODRIGUES LTDA,1,26100.0000
MARTINI E ZAITUNE SERVICOS MEDICOS LTDA,1,180000.0000
MARV COMERCIO E SERVICOS DE ALIMENTACAO E LOCACAO DE VEICULOS LTDA,1,19344.0000
MARVIN COMERCIO DE EXTINTORES LTDA,1,15049.0000
MASP - CLINICA RADIOLOGICA LTDA  -,1,3890335.3000
MASSAR PROTECAO E HIGIENE LTDA,1,11160.0000
MASTEC CARTUCHOS E TONER DE PIRAPORA LTDA,1,21518.7400
MASTER ENGENHARIA LTDA,1,748900.6200
MASTERLAB COMERCIAL LTDA,1,763709.5200
MASTERMEDIC COMERCIO DE PRODUTOS MEDICOS HOSPITALARES LTDA,1,0.0000
MATA VELOZ DEDETIZADORA LTDA,1,13758.0000
MATERA ENGENHARIA LTDA,1,2415000.0000
MATRIX COMERCIALIZADORA DE ENERGIA ELETRICA S/A,1,8085242.0000
MATUSKELLA COMERCIO IMPORTACAO EXPORTACAO E REPRESENTACAO LTDA,1,56640.0800
MAUES ENGENHARIA LTDA,1,2503149.0700
MAURILIO LIMA SILVA,1,78936.7000
MAXIMINO DOS SANTOS & CIA LTDA,1,625390.3400
MAXIMUS GESTAO DE MANUTENCAO INDUSTRIAL LTDA,1,87000.0000
MAXIPRINT EDITORA LTDA,1,1530634.7800
MAXIRAFIA INDUSTRIA IMPORTACAO EXPORTACAO DE EMBALAGENS LTDA,1,541788.0000
MAXIS INFORMATICA LTDA,1,9026.2800
MAZZA EDICOES LTDA,1,174137.9700
MAZZA ENGENHARIA LTDA,1,18487993.5800
MB ENGENHARIA E NEGOCIOS LTDA,1,107865.2500
MBM SEGURADORA SA,1,13845.0000
MCW PRODUTOS MEDICOS E HOSPITALARES LTDA,1,32808.9600
MECANICA NOVA WGD LTDA,1,15602.0000
MECANICATECH COMERCIO DE PECAS E SERVICOS AUTOMOTIVOS LTDA,1,449052.4000
MECATRON TECNOLOGIA E SERVICOS LTDA,1,483608.6800
MED CHOICE PRODUTO MEDICO HOSPITALAR LTDA,1,2935.9200
MED MAIS SOLUCOES EM SERVICOS ESPECIAIS LTDA,1,592200.2400
MED SUPPLY PRODUTOS MEDICOS LTDA,1,30058.0000
MEDEIROS & CURVO LTDA,1,609999.0000
MEDEIROS E RAMALHO SERVICOS MEDICOS LTDA,1,150000.0000
MED-EL DO BRASIL ELETROMEDICOS LTDA,1,852343.1800
MEDFUTURA DISTRIBUIDORA DE MEDICAMENTOS E PRODUTOS DE SAUDE LTDA,1,80000.0000
MEDGLOBAL DISTRIBUIDORA DE MATERIAL MEDICO HOSPITALAR LTDA,1,3007.9000
MEDICAL LIFE COMERCIO DE PRODUTOS HOSPITALARES LTDA,1,90120.8600
MEDICINA INTEGRAL LTDA,1,79500.0000
MEDIGRAM COMERCIO DE MEDICAMENTOS LTDA,1,1245511.2000
MEDIPHACOS INDUSTRIAS MEDICAS S/A,1,53465.9200
MEDMACH PRODUTOS HOSPITALARES LTDA,1,20466.0000
MEDMACH SOLUCOES HOSPITALARES LTDA,1,7708.0600
MEDSITE EQUIPAMENTOS E PRODUTOS PARA SAUDE LTDA,1,0.0000
NATAN DA SILVA SANTOS,1,88573.1700
NATHALIA EZAQUIELA PIMENTEL DOS SANTOS,1,20000.0000
NATHALIA L SOARES HONORATO,1,40000.0000
NATMAR MOLDES E PLASTICOS LTDA,1,430998.7200
NCT INFORMATICA LTDA,1,415000.0000
NELCILEI GOMES SILVA,1,18881.5000
NELSON DUARTE CONCEICAO FILHO,1,72365.6200
NEOVIA INFRAESTRUTURA RODOVIARIA LTDA,1,50517519.9800
NETMAXXI TELECOMUNICACOES E INFORMATICA LTDA,1,130680.0000
NETO CONSTRUCAO E SERVICOS LTDA,1,22275.0000
NETSAFE CORP LTDA,1,5400000.0000
NETUNO - SERVICOS DE CONSULTORIA E ENGENHARIA NAVAL LTDA,1,25812.0500
NETWARE TELECOMUNICACOES E INFORMATICA LTDA,1,29880.0000
NETWAY TELECOM LTDA,1,49200.0000
NETWORLD TELECOMUNICACOES DO BRASIL LTDA,1,36207.4800
NEUROCIRURGIA DO CENTRO-OESTE - SERVICOS MEDICOS LTDA,1,100000.0000
NEVI - SOLUCOES EMPRESARIAIS LTDA,1,18520.0000
NEW LINE SISTEMAS DE SEGURANCA LTDA,1,4199837.8700
NEW SOLUTIONS COMERCIO E SERVICOS LTDA,1,48600.0000
NEWTEC EDITORES LTDA,1,1297075.9800
NEXT EMPREENDIMENTOS LTDA,1,1771891.8000
NEXUS PRODUCOES ARTISTICAS LTDA,1,934381.4000
NEXVIA COMERCIO E SERVICOS DE EQUIPAMENTOS DE TELECOMUNICACOES LTDA,1,49241.0200
NF-CLINICA DE FISIOTERAPIA E ORTOPEDIA LTDA,1,342295.7800
NIVA TECNOLOGIA DA INFORMACAO LTDA,1,1329000.0000
NNC CONSTRUTORA LTDA,1,849615.9500
NOEME PEREIRA DOS SANTOS,1,7150.0000
NORDESTE EMERGENCIAS E SOLUCOES MEDICAS LTDA,1,400000.0000
NORDESTE SERVICOS MEDICOS LTDA.,1,1000000.0000
NORMED PRODUTOS MEDICOS E FARMACEUTICOS LTDA,1,0.0000
NOROESTE TECNOLOGIA LTDA,1,32698.1500
NORTE AMBIENTAL LTDA,1,5115.0000
NORTE REFRIGERACAO LTDA,1,7880.0000
NORTE-TEL TELECOMUNICACOES LTDA,1,26590.3600
NORTHWARE COMERCIO E SERVICOS LTDA,1,698240.0000
NOTRE DAME INTERMEDICA SAUDE S.A.,1,1.0000
MONGERAL AEGON SEGUROS E PREVIDENCIA S/A,1,0.0000
MONTEIRO ATIVIDADES ESPORTIVAS LTDA,1,14799.6000
MOOVE ENERGIA SOLAR LTDA,1,4639275.5600
MORALES PERLINGEIRO EDITORA E ASSESSORIA LTDA,1,802790.0500
MORIA CLINICA MEDICA LTDA,1,79500.0000
MOTORADIO TELECOMUNICACOES LTDA,1,3120.0000
MOVEPLAST INDUSTRIA DE MOVEIS LTDA,1,244527.2000
"MP IMPORTACAO, EXPORTACAO, PRODUTOS E SERVICOS LTDA",1,7740.0000
METAL TECNICA BOVENAU LTDA,1,239425.7500
METALACRE INDUSTRIA E COMERCIO DE LACRES LTDA,1,252650.0000
"METER INSTALACOES, MANUTENCAO E FACILITIES LTDA",1,88099.9900
METODO SYSTEM COMERCIO DE EQUIPAMENTOS PARA TELECOMUNICACOES E SERVICOS LTDA,1,611898.7200
METODO TELECOMUNICACOES E COMERCIO LTDA,1,40595.5800
METSOM CONSTRUCOES LTDA,1,769556.6000
MAISNOVE - MEDICINA DIAGNOSTICA LTDA,1,200000.0000
MAKE LINE COMERCIAL LTDA,1,3100.0000
MALBINI ENGENHARIA LTDA,1,70387.4200
MALE EDITORA E PRODUTORA CULTURAL LTDA,1,465905.5900
MRL CONSTRUTORA LTDA,1,1493163.7300
MS GERADORES LTDA,1,90500.0000
MS SEGURANCA ELETRONICA LTDA,1,10000.0000
MSC ALIMENTOS LTDA,1,742745.5000
MSS REFRIGERACAO LTDA,1,100.0000
MTVIP SEGURANCA E VIGILANCIA LTDA,1,348144.2400
MULT TECNOLOGIA LTDA,1,242.0000
MULTI PRIME TRANSPORTES E SERVICOS LTDA,1,1864471.0000
MF BOLSAS IND. E COM. LTDA,1,2814740.0000
MF MEDICAL COMERCIO E MANUTENCAO DE MATERIAIS CIRURGICOS LTDA,1,1275.5500
MF MEDICAL LTDA,1,127835.9300
MFMB ELETROCEL GRUPOS GERADORES LTDA,1,11101.2500
MULTICON ENGENHARIA LTDA,1,1945646.9300
MULTIFARMA COMERCIO E REPRESENTACOES LTDA.,1,43680.0000
ORBITAL SERVICOS AUXILIARES DE TRANSPORTE AEREO LTDA,1,1044096.2000
ORBITEL TELECOMUNICACOES E INFORMATICA LTDA,1,1378012.8800
ORIENTE CONSTRUCOES LTDA,1,4722.7200
ORION CONSTRUTORA LTDA,1,5137907.8900
ORL CONSTRUTORA LTDA ME,1,542000.0000
ORMINDO FRANCISCO NANDORF,1,17947.6400
ORTHO ORTOPEDIA E SERVICOS LTDA,1,92000.0000
ORTHOVIDA INDUSTRIA E NEGOCIOS DIGITAIS LTDA,1,64400.0000
ORTO TRAUMA TAMBAU LTDA,1,40000.0000
ORTOMED SERVICOS DE SAUDE LTDA,1,66000.0000
ORTON LOGISTICA E MECANICA PESADA LTDA,1,6500.0000
OSANA RAMOS DA SILVA DISTRIBUIDORA DE ALIMENTOS,1,1368.4000
OSM CONSULTORIA E SISTEMAS LTDA,1,8524807.4600
OTAVIO PEDRO NETO,1,136500.0000
OTC. DOC ORGANIZACAO TECNOLOGIA E CUSTODIA DE DOCUMENTOS LTDA,1,89751.8400
OTELINO AMARAL DOS SANTOS,1,8178.3500
OVERVIEW GRAFICA E EDITORA LTDA,1,809547.6500
P & B SISTEMAS DE SEGURANCA LTDA,1,18302.3000
P H ATAIDE DE JESUS  LTDA,1,35523.1700
P.A. OLHOS SERVICOS MEDICOS LTDA,1,79500.0000
OI S.A. - EM RECUPERAÇÃO JUDICIAL,1,16908.0000
OLIVEIRA ARAUJO ENGENHARIA LTDA,1,1328812.5900
"OLIVEIRA IMUNIZACOES ,CONSERVACOES,  COMERCIO E SERVICOS LTDA",1,2900.0000
OLIVEIRA MELO SERVICOS MEDICOS S/S LTDA,1,15000.0000
OLIVIER - LAVANDERIA LTDA,1,2990.0000
ONCOCLINICA - CLINICA DE MEDICINA E ODONTOLOGIA LTDA,1,1500000.0000
ONCOEXO DISTRIBUIDORA DE MEDICAMENTOS LTDA,1,103776.0000
ONCOVIDA ONCO-HEMATOLOGIA LTDA,1,100000.0000
ONCOVIDA SERVICOS MEDICOS LTDA,1,100000.0000
ONCOVIE SERVICOS DE ONCOLOGIA HEMATOLOGIA E TERAPIA BIOLOGICA LTDA,1,700000.0000
ONCOVIT DISTRIBUIDORA DE MEDICAMENTOS LTDA,1,235665.6000
ONDREPSB-SERVICO DE GUARDA E VIGILANCIA LTDA,1,164688.9600
ONE ELEVADORES DF LTDA.,1,518990.0000
ON-HIGHWAY BRASIL LTDA.,1,2646269.1000
ONI TELECOMUNICACOES LTDA,1,3497.9000
ONIX COMERCIO DE PRODUTOS ODONTOLOGICOS LTDA,1,8009.1000
ORACLE DO BRASIL SISTEMAS LTDA,1,2489836.2600
NR BASSO ADMINISTRACAO E SERVICOS LTDA,1,653038.0800
NRM COMPUTACAO GRAFICA LTDA,1,150000.0000
NS SERVICOS & SEGURANCA LTDA,1,42081.4800
NSA DISTRIBUIDORA DE MEDICAMENTOS LTDA,1,52307.7000
NTL NOVA TECNOLOGIA LTDA,1,439026.3600
NUCLEO DE SAUDE BONAMIGO LTDA,1,30560.5000
NUCTECH DO BRASIL LTDA,1,418000.0000
NUNEZ FARIAS CONSTRUCAO LTDA,1,124492.9900
NUTRIC - NUTRICIONAL COMERCIO LTDA,1,10230.0000
NUTRICELLI COMERCIO DE ALIMENTOS LTDA,1,57456.0000
NUTRIMENTA RESTAURANTE LTDA,1,523050.0000
NUTRIR SOLUCOES EM SAUDE LTDA,1,8705.3200
NUTRISOLUTION NUTRICAO E COMERCIO DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA,1,557500.0000
NW DRONES COMERCIO E MANUTENCAO DE DRONES LTDA,1,59250.0000
O C L SERVICOS E CONSTRUCAO LTDA,1,1595317.8900
O S BORGES VEICULOS,1,51216.0000
OBJETIVA SERVICOS TERCEIRIZADOS LTDA,1,89299.9400
OCELLOTT ENGENHARIA LTDA.,1,292820.0000
MULTIPLATAFORMA SISTEMAS DE INFORMATICA LTDA,1,19200.0000
MULTITEC ELEVADORES LTDA,1,83764.6600
MULTSER TERCEIRIZACAO DE MAO DE OBRA E SERVICOS LTDA,1,449305.5600
MURANO CONSTRUCOES LTDA,1,110742.4800
MURSULMANO MARTINS DOS SANTOS,1,5404.6400
MUTANTE EDITORA LTDA,1,957917.7000
MVM ENGENHARIA LTDA,1,1239650.0000
MYRIAN MARA NUNES,1,16740.0000
N C F ROCHA LTDA,1,182400.0000
N V N DE MOURA,1,16755.0000
N. A. SALVATI PSICOLOGIA LTDA,1,60000.0000
N.S.S. COMERCIAL & CONSTRUTORA LTDA,1,132414.0000
N2I EDITORA LTDA,1,1018437.1700
NANO BITS SERVICOS ESPECIALIZADOS LTDA,1,58132.2000
NASCIMENTO SERVICOS DE LIMPEZA LTDA,1,13200488.5200
PR LABOR COM. DE PRODUTOS E EQUIPAMENTOS PARA LABORATORIOS LTDA.,1,907884.0000
"PRATI, DONADUZZI & CIA LTDA",1,87900.0000
PRATT & WHITNEY CANADA DO BRASIL LTDA,1,97107163.9300
PRECISA CONSERVACAO E LIMPEZA LTDA,1,115294.2000
PREDILAR SOLUCOES EM SERVICOS LTDA,1,137976.0000
PREMIER PECAS E SERVICOS LTDA,1,767.3400
PREMIER SERVICOS E EMPREENDIMENTOS LTDA,1,562302.0000
PREMIUM MOVEIS PARA ESCRITORIO LTDA,1,327101.6000
PREMOLFOZ INDUSTRIA E COMERCIO DE PREMOLDADOS LTDA,1,598289.1300
PRENER ENGENHARIA LTDA,1,14800000.0000
PRESIM  PREMOLDADOS SIMOES ENGENHARIA LTDA,1,4665070.1800
PRESTA CONSTRUTORA E SERVICOS GERAIS LTDA,1,9160169.6500
PRESTADORA DE SERVICOS OFTALMOLOGICOS LTDA,1,100000.0000
PLATINA MINERAL LTDA,1,1920.0000
PLINIO CAVALCANTI & CIA LTDA,1,28167006.7000
PLUGNET COMERCIO E REPRESENTACOES LTDA.,1,184800.0000
PLUMA TERCEIRIZACAO LTDA,1,975177.4200
POLICLINICA DE PIEDADE LTDA,1,150000.0000
POLO CLIMA INSTALACAO E MANUTENCAO DE AR CONDICIONADOS LTDA,1,82980.0000
POLO SEGURANCA ESPECIALIZADA LTDA,1,5019572.4000
PONCIONI SERVICOS MEDICOS LTDA,1,30000.0000
PONTUAL AUTO LOCADORA LTDA,1,11369788.7200
POOL RIO SUL CONSTRUCOES LTDA,1,69500.0000
PORTAL EQUIPAMENTOS HOSPITALARES LTDA,1,304521.5800
PORTENTO CONSTRUCOES LTDA,1,1021140.0000
PILOTO CARIMBOS COMERCIO E INDUSTRIA LTDA,1,17540.0000
PIMENTA E SANTOS LTDA,1,326090.0000
PINGO DE OURO EDITORES LTDA,1,767882.6800
"PINHEIRO COMERCIO IMPORTACAO, EXPORTACAO DE EQUIPAMENTOS MEDICOS LTDA",1,0.0000
PINTO & ZINCONE EDITORA LTDA,1,183053.7000
PIPELINE TECH CORPORATION GROUP LTDA,1,115214.0000
PISTOLATO MIRA COLETA URBANA E LOCACAO LTDA,1,99999.0000
PITANG CONSULTORIA E SISTEMAS S/A,1,2178955.5200
PIZOTTI OFICINA DE IDEIAS E COMERCIO DE LIVROS LTDA,1,449489.1800
PLANETA AGUA COMERCIO DE PRODUTOS NATURAIS LTDA,1,129500.0000
PHODIUM SOLUCOES CONSULTORIA E GESTAO LTDA,1,277000.0000
PHOENIX INDUSTRIA E COMERCIO DE EQUIPAMENTOS CIENTIFICOS LTDA,1,110380.0000
NOVARTIS BIOCIENCIAS SA,1,7386876.0000
NOVO SER EDITORA E DISTRIBUIDORA LTDA,1,248230.1600
NOVA DIAGNOSTICO POR IMAGEM LTDA,1,2000000.0000
NOVA RENASCER LTDA,1,110352.0000
NOVA SB COMUNICACAO S.A.,1,215000000.0000
PAIOL ARQUITETURA E RESTAURO LTDA,1,278264.2400
PALAVRAS PROJETOS EDITORIAIS LTDA,1,531328.0500
PALAVRINHAS PROJETOS EDITORIAIS LTDA,1,1388603.5600
PALOMA GABRIELA SANDOVAL,1,79500.0000
PAMELLA SANTANA DINIZ LINHARES,1,500000.0000
PANTOGRAF GRAFICA E EDITORA LTDA,1,974749.4200
PARABOLA EDITORIAL LTDA,1,157488.3800
PARATITUR TRANSPORTES LTDA,1,25500.0000
PARGO ENGENHARIA LTDA,1,286500.0000
PARKLAND CATARINENSE DE ESTACIONAMENTO LTDA,1,198480.0000
PARTS LUB DISTRIBUIDORA E SERVICOS LTDA,1,169994.5600
PASQUINELLI E PASQUINELLI LTDA,1,79500.0000
"PASSAPORTE PDH - SELECAO E DESENVOLVIMENTO HUMANO, ASSESSORIA E CONSULTORIA TECN",1,39990.0000
PASSOS SOLUCOES EM ENGENHARIA LTDA,1,74486.2500
PATOLOGISTAS ASSOCIADOS LTDA,1,50000.0000
PATRICIA DINIZ SANTANA,1,75000.0000
PAULO CESAR SACARDO LTDA,1,2833940.4300
PAULO VIEIRA DE AMORIM,1,2160000.0000
PECAZERO COMERCIO E SERVICOS DE VEICULOS LTDA,1,96968.0000
PEDRO EDENIR DA ROCHA,1,8000.0000
PEDRO REGINALDO DE ALBERNAZ FARIA E FAGUNDES LTDA,1,3743463.4200
PELT PROJETOS E CONSTRUCOES LTDA,1,380972.1900
PENNINHA EDICOES LTDA,1,654394.3900
PENSABIO INSTRUMENTOS DE BIOTECNOLOGIA LTDA,1,396150.0000
PENSALAB EQUIPAMENTOS INDUSTRIAIS S.A.,1,370000.0000
PERFECT ASSESSORIA EM LICITACAO LTDA,1,64999.4400
PERFIL COMPUTACIONAL LTDA,1,1200280.0000
